,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
137,Nissan MAGNITE,2021,25725,1,PETROL,GJ-38,Automatic,SUV,858000
138,Hyundai Grand i10,2019,15100,1,PETROL,HR-03,Manual,HatchBack,606000
139,Hyundai GRAND I10 NIOS,2021,27546,1,PETROL,MP-09,Automatic,HatchBack,692000
140,Maruti Wagon R 1.0,2018,32330,1,PETROL,HR-52,Automatic,HatchBack,449000
141,Honda Amaze,2019,18152,1,PETROL,GJ-06,Manual,Sedan,689000
142,Maruti Dzire,2017,71321,2,PETROL,HR-26,Manual,Sedan,701000
143,Maruti Alto K10,2012,80172,2,PETROL,AP-29,Manual,HatchBack,197300
144,Maruti Swift,2018,44602,1,PETROL,TS-07,Manual,HatchBack,654000
145,Toyota YARIS,2018,39299,1,PETROL,MH-12,Automatic,Sedan,901000
146,Honda Brio,2012,52092,2,PETROL,KA-04,Manual,HatchBack,332000
147,Volkswagen Ameo,2018,19158,1,PETROL,TN-59,Manual,Sedan,654000
148,Renault Kiger,2021,20044,1,PETROL,KA-04,Manual,HatchBack,675000
149,Maruti Wagon R 1.0,2014,44752,1,PETROL,MH-03,Manual,HatchBack,353000
150,Honda Accord,2013,114653,1,PETROL,,Manual,Sedan,190000
151,Datsun Redi Go,2018,30732,1,PETROL,KA-04,Manual,HatchBack,262000
152,Maruti Swift Dzire,2012,14799,1,PETROL,MH-01,Manual,Sedan,468000
153,Maruti Dzire,2018,43525,1,PETROL,KA-05,Manual,Sedan,674000
154,Hyundai Grand i10,2017,92995,2,PETROL,HR-36,Manual,HatchBack,442000
155,Hyundai NEW I20,2021,14261,1,PETROL,TN-14,Manual,HatchBack,763000
156,Honda Amaze,2013,9415,1,PETROL,GJ-32,Manual,Sedan,723000
157,Maruti Celerio,2018,17547,1,PETROL,MH-01,Automatic,HatchBack,488000
158,Maruti Celerio,2017,49344,1,PETROL,GJ-08,Automatic,HatchBack,471000
159,Hyundai Elite i20,2019,18690,1,PETROL,TS-12,Manual,HatchBack,751000
160,Tata NEXON,2018,83234,1,DIESEL,WB-26,Manual,SUV,526000
161,Maruti Ciaz,2021,17752,1,PETROL,TN-06,Manual,Sedan,761000
162,Honda Amaze,2021,97084,1,PETROL,KA-41,Manual,Sedan,422000
163,Hyundai Xcent,2015,40791,2,PETROL,MH-01,Manual,Sedan,444000
164,Tata ALTROZ,2020,35197,1,DIESEL,MH-03,Manual,HatchBack,787000
165,Maruti Vitara Brezza,2018,73081,1,DIESEL,UP-65,Manual,SUV,635000
166,Maruti Wagon R 1.0,2018,58165,2,PETROL,MP-04,Manual,HatchBack,383000
167,Maruti Wagon R 1.0,2011,22866,1,PETROL,DL-8C,Manual,HatchBack,220000
168,Maruti Baleno,2017,54410,1,PETROL,DL-9C,Manual,HatchBack,496000
169,Maruti Wagon R 1.0,2017,14524,1,PETROL,KA-53,Manual,HatchBack,463000
170,Renault Kwid,2015,66995,2,PETROL,MH-14,Manual,HatchBack,283000
171,Maruti Wagon R 1.0,2017,75537,1,CNG,DL-8C,Manual,HatchBack,374250
172,Maruti Dzire,2017,39198,1,PETROL,TS-08,Automatic,Sedan,973000
173,Maruti Baleno,2016,74270,2,DIESEL,MH-12,Manual,HatchBack,545000
174,Maruti Baleno,2017,36573,3,PETROL,TN-14,Manual,HatchBack,610000
175,Maruti A Star,2010,64103,2,PETROL,KA-02,Manual,HatchBack,221000
176,Maruti Alto 800,2018,26158,1,PETROL,PB-91,Manual,HatchBack,343000
177,Maruti Alto,2019,60299,1,PETROL,GJ-03,Manual,HatchBack,380000
178,Maruti Baleno,2017,32343,1,PETROL,MH-14,Automatic,HatchBack,603000
179,Maruti Ciaz,2015,123077,2,DIESEL,GJ-01,Manual,Sedan,569350
180,Hyundai Elite i20,2017,29201,2,PETROL,MH-02,Manual,HatchBack,561000
181,Honda City,2017,71105,1,PETROL,MH-48,Automatic,Sedan,627000
182,Maruti Swift Dzire,2012,73399,1,PETROL,AP-23,Manual,Sedan,419000
183,Maruti Swift Dzire,2013,41312,1,PETROL,AP-10,Manual,Sedan,451000
184,Maruti Baleno,2017,34102,1,PETROL,MH-03,Manual,HatchBack,624000
185,Hyundai i10,2011,69532,1,PETROL,KA-05,Automatic,HatchBack,343000
186,Maruti Vitara Brezza,2020,41465,2,DIESEL,HR-13,Manual,SUV,726000
187,Maruti Ritz,2014,75638,2,PETROL,TS-13,Manual,HatchBack,378000
188,Maruti Dzire,2019,51377,1,PETROL,TS-08,Automatic,Sedan,672000
189,Maruti Swift Dzire,2014,35872,1,PETROL,WB-02,Manual,Sedan,336000
190,Honda Jazz,2015,74079,2,PETROL,GJ-06,Manual,HatchBack,428000
191,Maruti Wagon R 1.0,2011,79275,1,PETROL,DL-8C,Manual,HatchBack,202000
192,Hyundai Grand i10,2018,27721,1,PETROL,DL-8C,Manual,HatchBack,497000
193,Maruti Swift,2018,21347,1,PETROL,DL-5C,Manual,HatchBack,559000
194,Maruti IGNIS,2017,59811,1,PETROL,MH-05,Automatic,HatchBack,537000
195,Nissan Micra,2018,89172,1,PETROL,GJ-05,Automatic,HatchBack,449000
196,Maruti Baleno,2019,31867,1,PETROL,DL-8C,Manual,HatchBack,680000
197,Hyundai i20,2012,39845,1,PETROL,MH-02,Manual,HatchBack,320000
198,Maruti Alto K10,2015,67182,2,PETROL,MH-12,Automatic,HatchBack,348000
199,Mahindra XUV500,2018,69690,1,DIESEL,MH-47,Manual,Lux_SUV,1187000
200,Renault Kwid,2019,66740,1,PETROL,GJ-05,Automatic,HatchBack,401000
201,Honda Brio,2014,70683,2,PETROL,UP-32,Manual,HatchBack,286000
202,Maruti Swift,2019,39280,2,PETROL,GJ-05,Manual,HatchBack,572000
203,Maruti Vitara Brezza,2019,41265,2,DIESEL,GJ-03,Manual,SUV,914000
204,Hyundai Verna,2017,58942,1,PETROL,MH-12,Automatic,Sedan,802000
205,Hyundai i20,2014,36766,2,PETROL,KA-51,Manual,HatchBack,525000
206,Hyundai Eon,2016,33476,1,PETROL,MH-12,Manual,HatchBack,327000
207,Hyundai Creta,2015,99951,2,PETROL,DL-1C,Manual,SUV,690000
208,Tata Tiago,2021,12060,1,PETROL,TN-09,Manual,HatchBack,667000
209,Tata Tiago,2019,30214,1,PETROL,TN-58,Manual,HatchBack,477000
210,Ford Ecosport,2016,46706,1,PETROL,DL-2C,Manual,SUV,692000
211,Maruti Wagon R 1.0,2014,53706,1,PETROL,MH-15,Manual,HatchBack,327000
212,Hyundai Grand i10,2014,59973,1,PETROL,TS-07,Manual,HatchBack,440000
213,Maruti Alto,2020,61703,1,PETROL,PB-07,Manual,HatchBack,333000
214,Hyundai Eon,2015,43724,1,PETROL,KA-19,Manual,HatchBack,299000
215,Maruti Baleno,2017,26371,1,PETROL,HR-30,Manual,HatchBack,529000
216,Hyundai Verna,2017,114451,1,DIESEL,KA-13,Manual,Sedan,800000
217,Maruti Celerio,2020,81389,1,CNG,MH-12,Manual,HatchBack,497000
218,Ford Ecosport,2017,33921,1,PETROL,TN-12,Manual,SUV,722000
